,Season,team,coach_name
8,2012/2013,LAL,M. Brown
9,2011/2012,LAL,M. Brown
10,2010/2011,LAL,P. Jackson
11,2009/2010,LAL,P. Jackson
12,2008/2009,LAL,P. Jackson
13,2007/2008,LAL,P. Jackson
14,2006/2007,LAL,P. Jackson
15,2005/2006,LAL,P. Jackson
16,2004/2005,LAL,R. Tomjanovich
17,2003/2004,LAL,P. Jackson
18,2002/2003,LAL,P. Jackson
19,2001/2002,LAL,P. Jackson
20,2000/2001,LAL,P. Jackson
21,1999/2000,LAL,P. Jackson
22,1998/1999,LAL,D. Harris
23,1997/1998,LAL,D. Harris
24,1996/1997,LAL,D. Harris
25,1995/1996,LAL,D. Harris
26,1994/1995,LAL,D. Harris
27,1993/1994,LAL,R. Pfund
28,1992/1993,LAL,R. Pfund
29,1991/1992,LAL,M. Dunleavy
30,1990/1991,LAL,M. Dunleavy
31,1989/1990,LAL,P. Riley
32,1988/1989,LAL,P. Riley
33,1987/1988,LAL,P. Riley
34,1986/1987,LAL,P. Riley
35,1985/1986,LAL,P. Riley
36,1984/1985,LAL,P. Riley
37,1983/1984,LAL,P. Riley
38,1982/1983,LAL,P. Riley
39,1981/1982,LAL,P. Westhead
40,1980/1981,LAL,P. Westhead
41,1979/1980,LAL,J. McKinney
42,1978/1979,LAL,J. West
43,1977/1978,LAL,J. West
44,1976/1977,LAL,J. West
45,1975/1976,LAL,B. Sharman
46,1974/1975,LAL,B. Sharman
47,1973/1974,LAL,B. Sharman
48,1972/1973,LAL,B. Sharman
49,1971/1972,LAL,B. Sharman
50,1970/1971,LAL,J. Mullaney
51,1969/1970,LAL,J. Mullaney
52,1968/1969,LAL,B. van Breda Kolff
53,1967/1968,LAL,B. van Breda Kolff
54,1966/1967,LAL,F. Schaus
55,1965/1966,LAL,F. Schaus
56,1964/1965,LAL,F. Schaus
57,1963/1964,LAL,F. Schaus
58,1962/1963,LAL,F. Schaus
59,1961/1962,LAL,F. Schaus
60,1960/1961,LAL,F. Schaus
61,1959/1960,MNL,J. Castellani
62,1958/1959,MNL,J. Kundla
63,1957/1958,MNL,G. Mikan
64,1956/1957,MNL,J. Kundla
65,1955/1956,MNL,J. Kundla
66,1954/1955,MNL,J. Kundla
67,1953/1954,MNL,J. Kundla
68,1952/1953,MNL,J. Kundla
69,1951/1952,MNL,J. Kundla
70,1950/1951,MNL,J. Kundla
71,1949/1950,MNL,J. Kundla
72,1948/1949,MNL,J. Kundla
0,2020/2021,LAC,T. Lue
1,2019/2020,LAC,D. Rivers
2,2018/2019,LAC,D. Rivers
3,2017/2018,LAC,D. Rivers
4,2016/2017,LAC,D. Rivers
5,2015/2016,LAC,D. Rivers
6,2014/2015,LAC,D. Rivers
7,2013/2014,LAC,D. Rivers
8,2012/2013,LAC,V. Del Negro
9,2011/2012,LAC,V. Del Negro
10,2010/2011,LAC,V. Del Negro
11,2009/2010,LAC,M. Dunleavy
12,2008/2009,LAC,M. Dunleavy
13,2007/2008,LAC,M. Dunleavy
14,2006/2007,LAC,M. Dunleavy
15,2005/2006,LAC,M. Dunleavy
16,2004/2005,LAC,M. Dunleavy
17,2003/2004,LAC,M. Dunleavy
18,2002/2003,LAC,A. Gentry
19,2001/2002,LAC,A. Gentry
20,2000/2001,LAC,A. Gentry
21,1999/2000,LAC,C. Ford
22,1998/1999,LAC,C. Ford
23,1997/1998,LAC,B. Fitch
24,1996/1997,LAC,B. Fitch
25,1995/1996,LAC,B. Fitch
26,1994/1995,LAC,B. Fitch
27,1993/1994,LAC,B. Weiss
28,1992/1993,LAC,L. Brown
29,1991/1992,LAC,M. Schuler
30,1990/1991,LAC,M. Schuler
31,1989/1990,LAC,D. Casey
32,1988/1989,LAC,G. Shue
33,1987/1988,LAC,G. Shue
34,1986/1987,LAC,D. Chaney
35,1985/1986,LAC,D. Chaney
36,1984/1985,LAC,J. Lynam
37,1983/1984,SDC,J. Lynam
38,1982/1983,SDC,P. Silas
39,1981/1982,SDC,P. Silas
40,1980/1981,SDC,P. Silas
41,1979/1980,SDC,G. Shue
42,1978/1979,SDC,G. Shue
43,1977/1978,BUF,C. Fitzsimmons
44,1976/1977,BUF,T. Locke
45,1975/1976,BUF,J. Ramsay
46,1974/1975,BUF,J. Ramsay
47,1973/1974,BUF,J. Ramsay
48,1972/1973,BUF,J. Ramsay
49,1971/1972,BUF,D. Schayes
50,1970/1971,BUF,D. Schayes
0,2020/2021,PHO,M. Williams
1,2019/2020,PHO,M. Williams
2,2018/2019,PHO,I. Kokoskov
3,2017/2018,PHO,E. Watson
4,2016/2017,PHO,E. Watson
5,2015/2016,PHO,J. Hornacek
6,2014/2015,PHO,J. Hornacek
7,2013/2014,PHO,J. Hornacek
8,2012/2013,PHO,A. Gentry
9,2011/2012,PHO,A. Gentry
10,2010/2011,PHO,A. Gentry
11,2009/2010,PHO,A. Gentry
12,2008/2009,PHO,T. Porter
13,2007/2008,PHO,M. D'Antoni
14,2006/2007,PHO,M. D'Antoni
15,2005/2006,PHO,M. D'Antoni
16,2004/2005,PHO,M. D'Antoni
17,2003/2004,PHO,F. Johnson
18,2002/2003,PHO,F. Johnson
19,2001/2002,PHO,S. Skiles
20,2000/2001,PHO,S. Skiles
21,1999/2000,PHO,D. Ainge
22,1998/1999,PHO,D. Ainge
23,1997/1998,PHO,D. Ainge
24,1996/1997,PHO,C. Fitzsimmons
25,1995/1996,PHO,P. Westphal
26,1994/1995,PHO,P. Westphal
27,1993/1994,PHO,P. Westphal
28,1992/1993,PHO,P. Westphal
29,1991/1992,PHO,C. Fitzsimmons
30,1990/1991,PHO,C. Fitzsimmons
31,1989/1990,PHO,C. Fitzsimmons
32,1988/1989,PHO,C. Fitzsimmons
33,1987/1988,PHO,J. Wetzel
34,1986/1987,PHO,J. MacLeod
35,1985/1986,PHO,J. MacLeod
36,1984/1985,PHO,J. MacLeod
37,1983/1984,PHO,J. MacLeod
38,1982/1983,PHO,J. MacLeod
39,1981/1982,PHO,J. MacLeod
40,1980/1981,PHO,J. MacLeod
41,1979/1980,PHO,J. MacLeod
42,1978/1979,PHO,J. MacLeod
43,1977/1978,PHO,J. MacLeod
44,1976/1977,PHO,J. MacLeod
45,1975/1976,PHO,J. MacLeod
46,1974/1975,PHO,J. MacLeod
47,1973/1974,PHO,J. MacLeod
48,1972/1973,PHO,B. van Breda Kolff
49,1971/1972,PHO,C. Fitzsimmons
50,1970/1971,PHO,C. Fitzsimmons
51,1969/1970,PHO,R. Kerr
52,1968/1969,PHO,R. Kerr
0,2020/2021,GSW,S. Kerr
1,2019/2020,GSW,S. Kerr
2,2018/2019,GSW,S. Kerr
3,2017/2018,GSW,S. Kerr
4,2016/2017,GSW,S. Kerr
5,2015/2016,GSW,S. Kerr
6,2014/2015,GSW,S. Kerr
7,2013/2014,GSW,M. Jackson
8,2012/2013,GSW,M. Jackson
9,2011/2012,GSW,M. Jackson
10,2010/2011,GSW,K. Smart
11,2009/2010,GSW,D. Nelson
12,2008/2009,GSW,D. Nelson
13,2007/2008,GSW,D. Nelson
14,2006/2007,GSW,D. Nelson
15,2005/2006,GSW,M. Montgomery
16,2004/2005,GSW,M. Montgomery
17,2003/2004,GSW,E. Musselman
18,2002/2003,GSW,E. Musselman
19,2001/2002,GSW,D. Cowens
20,2000/2001,GSW,D. Cowens
21,1999/2000,GSW,P. Carlesimo
22,1998/1999,GSW,P. Carlesimo
23,1997/1998,GSW,P. Carlesimo
24,1996/1997,GSW,R. Adelman
25,1995/1996,GSW,R. Adelman
26,1994/1995,GSW,D. Nelson
27,1993/1994,GSW,D. Nelson
28,1992/1993,GSW,D. Nelson
29,1991/1992,GSW,D. Nelson
30,1990/1991,GSW,D. Nelson
31,1989/1990,GSW,D. Nelson
32,1988/1989,GSW,D. Nelson
33,1987/1988,GSW,G. Karl
34,1986/1987,GSW,G. Karl
35,1985/1986,GSW,J. Bach
36,1984/1985,GSW,J. Bach
37,1983/1984,GSW,J. Bach
38,1982/1983,GSW,A. Attles
39,1981/1982,GSW,A. Attles
40,1980/1981,GSW,A. Attles
41,1979/1980,GSW,A. Attles
42,1978/1979,GSW,A. Attles
43,1977/1978,GSW,A. Attles
44,1976/1977,GSW,A. Attles
45,1975/1976,GSW,A. Attles
46,1974/1975,GSW,A. Attles
47,1973/1974,GSW,A. Attles
48,1972/1973,GSW,A. Attles
49,1971/1972,GSW,A. Attles
50,1970/1971,SFW,A. Attles
51,1969/1970,SFW,G. Lee
52,1968/1969,SFW,G. Lee
53,1967/1968,SFW,B. Sharman
54,1966/1967,SFW,B. Sharman
55,1965/1966,SFW,A. Hannum
56,1964/1965,SFW,A. Hannum
57,1963/1964,SFW,A. Hannum
58,1962/1963,SFW,B. Feerick
59,1961/1962,PHW,F. McGuire
60,1960/1961,PHW,N. Johnston
61,1959/1960,PHW,N. Johnston
62,1958/1959,PHW,A. Cervi
63,1957/1958,PHW,G. Senesky
64,1956/1957,PHW,G. Senesky
65,1955/1956,PHW,G. Senesky
66,1954/1955,PHW,E. Gottlieb
67,1953/1954,PHW,E. Gottlieb
68,1952/1953,PHW,E. Gottlieb
69,1951/1952,PHW,E. Gottlieb
70,1950/1951,PHW,E. Gottlieb
71,1949/1950,PHW,E. Gottlieb
72,1948/1949,PHW,E. Gottlieb
73,1947/1948,PHW,E. Gottlieb
74,1946/1947,PHW,E. Gottlieb
0,2020/2021,SAC,L. Walton
1,2019/2020,SAC,L. Walton
2,2018/2019,SAC,D. Joerger
3,2017/2018,SAC,D. Joerger
4,2016/2017,SAC,D. Joerger
5,2015/2016,SAC,G. Karl
6,2014/2015,SAC,M. Malone
7,2013/2014,SAC,M. Malone
8,2012/2013,SAC,K. Smart
9,2011/2012,SAC,P. Westphal
10,2010/2011,SAC,P. Westphal
11,2009/2010,SAC,P. Westphal
12,2008/2009,SAC,R. Theus
13,2007/2008,SAC,R. Theus
14,2006/2007,SAC,E. Musselman
15,2005/2006,SAC,R. Adelman
16,2004/2005,SAC,R. Adelman
17,2003/2004,SAC,R. Adelman
18,2002/2003,SAC,R. Adelman
19,2001/2002,SAC,R. Adelman
20,2000/2001,SAC,R. Adelman
21,1999/2000,SAC,R. Adelman
22,1998/1999,SAC,R. Adelman
23,1997/1998,SAC,E. Jordan
24,1996/1997,SAC,G. St. Jean
25,1995/1996,SAC,G. St. Jean
26,1994/1995,SAC,G. St. Jean
27,1993/1994,SAC,G. St. Jean
28,1992/1993,SAC,G. St. Jean
29,1991/1992,SAC,D. Motta
30,1990/1991,SAC,D. Motta
31,1989/1990,SAC,J. Reynolds
32,1988/1989,SAC,J. Reynolds
33,1987/1988,SAC,B. Russell
34,1986/1987,SAC,P. Johnson
35,1985/1986,SAC,P. Johnson
36,1984/1985,KCK,J. McKinney
37,1983/1984,KCK,C. Fitzsimmons
38,1982/1983,KCK,C. Fitzsimmons
39,1981/1982,KCK,C. Fitzsimmons
40,1980/1981,KCK,C. Fitzsimmons
41,1979/1980,KCK,C. Fitzsimmons
42,1978/1979,KCK,C. Fitzsimmons
43,1977/1978,KCK,P. Johnson
44,1976/1977,KCK,P. Johnson
45,1975/1976,KCK,P. Johnson
46,1974/1975,KCO,P. Johnson
47,1973/1974,KCO,B. Cousy
48,1972/1973,KCO,B. Cousy
49,1971/1972,CIN,B. Cousy
50,1970/1971,CIN,B. Cousy
51,1969/1970,CIN,B. Cousy
52,1968/1969,CIN,E. Jucker
53,1967/1968,CIN,E. Jucker
54,1966/1967,CIN,J. McMahon
55,1965/1966,CIN,J. McMahon
56,1964/1965,CIN,J. McMahon
57,1963/1964,CIN,J. McMahon
58,1962/1963,CIN,C. Wolf
59,1961/1962,CIN,C. Wolf
60,1960/1961,CIN,C. Wolf
61,1959/1960,CIN,T. Marshall
62,1958/1959,CIN,B. Wanzer
63,1957/1958,CIN,B. Wanzer
64,1956/1957,ROC,B. Wanzer
65,1955/1956,ROC,B. Wanzer
66,1954/1955,ROC,L. Harrison
67,1953/1954,ROC,L. Harrison
68,1952/1953,ROC,L. Harrison
69,1951/1952,ROC,L. Harrison
70,1950/1951,ROC,L. Harrison
71,1949/1950,ROC,L. Harrison
72,1948/1949,ROC,L. Harrison
0,2020/2021,NOP,S. Van Gundy
1,2019/2020,NOP,A. Gentry
2,2018/2019,NOP,A. Gentry
3,2017/2018,NOP,A. Gentry
4,2016/2017,NOP,A. Gentry
5,2015/2016,NOP,A. Gentry
6,2014/2015,NOP,M. Williams
7,2013/2014,NOP,M. Williams
8,2012/2013,NOH,M. Williams
9,2011/2012,NOH,M. Williams
10,2010/2011,NOH,M. Williams
11,2009/2010,NOH,B. Scott
12,2008/2009,NOH,B. Scott
13,2007/2008,NOH,B. Scott
14,2006/2007,NOK,B. Scott
15,2005/2006,NOK,B. Scott
16,2004/2005,NOH,B. Scott
17,2003/2004,NOH,T. Floyd
18,2002/2003,NOH,P. Silas
0,2020/2021,HOU,S. Silas
1,2019/2020,HOU,M. D'Antoni
2,2018/2019,HOU,M. D'Antoni
3,2017/2018,HOU,M. D'Antoni
4,2016/2017,HOU,M. D'Antoni
5,2015/2016,HOU,K. McHale
6,2014/2015,HOU,K. McHale
7,2013/2014,HOU,K. McHale
8,2012/2013,HOU,K. McHale
9,2011/2012,HOU,K. McHale
10,2010/2011,HOU,R. Adelman
11,2009/2010,HOU,R. Adelman
12,2008/2009,HOU,R. Adelman
13,2007/2008,HOU,R. Adelman
14,2006/2007,HOU,J. Van Gundy
15,2005/2006,HOU,J. Van Gundy
16,2004/2005,HOU,J. Van Gundy
17,2003/2004,HOU,J. Van Gundy
18,2002/2003,HOU,R. Tomjanovich
19,2001/2002,HOU,R. Tomjanovich
20,2000/2001,HOU,R. Tomjanovich
21,1999/2000,HOU,R. Tomjanovich
22,1998/1999,HOU,R. Tomjanovich
23,1997/1998,HOU,R. Tomjanovich
24,1996/1997,HOU,R. Tomjanovich
25,1995/1996,HOU,R. Tomjanovich
26,1994/1995,HOU,R. Tomjanovich
27,1993/1994,HOU,R. Tomjanovich
28,1992/1993,HOU,R. Tomjanovich
29,1991/1992,HOU,D. Chaney
30,1990/1991,HOU,D. Chaney
31,1989/1990,HOU,D. Chaney
32,1988/1989,HOU,D. Chaney
33,1987/1988,HOU,B. Fitch
34,1986/1987,HOU,B. Fitch
35,1985/1986,HOU,B. Fitch
36,1984/1985,HOU,B. Fitch
37,1983/1984,HOU,B. Fitch
38,1982/1983,HOU,D. Harris
39,1981/1982,HOU,D. Harris
40,1980/1981,HOU,D. Harris
41,1979/1980,HOU,D. Harris
42,1978/1979,HOU,T. Nissalke
43,1977/1978,HOU,T. Nissalke
44,1976/1977,HOU,T. Nissalke
45,1975/1976,HOU,J. Egan
46,1974/1975,HOU,J. Egan
47,1973/1974,HOU,J. Egan
48,1972/1973,HOU,T. Winter
49,1971/1972,HOU,T. Winter
50,1970/1971,SDR,A. Hannum
51,1969/1970,SDR,J. McMahon
52,1968/1969,SDR,J. McMahon
53,1967/1968,SDR,J. McMahon
0,2020/2021,SAS,G. Popovich
1,2019/2020,SAS,G. Popovich
2,2018/2019,SAS,G. Popovich
3,2017/2018,SAS,G. Popovich
4,2016/2017,SAS,G. Popovich
5,2015/2016,SAS,G. Popovich
6,2014/2015,SAS,G. Popovich
7,2013/2014,SAS,G. Popovich
8,2012/2013,SAS,G. Popovich
9,2011/2012,SAS,G. Popovich
10,2010/2011,SAS,G. Popovich
11,2009/2010,SAS,G. Popovich
12,2008/2009,SAS,G. Popovich
13,2007/2008,SAS,G. Popovich
14,2006/2007,SAS,G. Popovich
15,2005/2006,SAS,G. Popovich
16,2004/2005,SAS,G. Popovich
17,2003/2004,SAS,G. Popovich
18,2002/2003,SAS,G. Popovich
19,2001/2002,SAS,G. Popovich
20,2000/2001,SAS,G. Popovich
21,1999/2000,SAS,G. Popovich
22,1998/1999,SAS,G. Popovich
23,1997/1998,SAS,G. Popovich
24,1996/1997,SAS,B. Hill
25,1995/1996,SAS,B. Hill
26,1994/1995,SAS,B. Hill
27,1993/1994,SAS,J. Lucas
28,1992/1993,SAS,J. Tarkanian
29,1991/1992,SAS,L. Brown
30,1990/1991,SAS,L. Brown
31,1989/1990,SAS,L. Brown
32,1988/1989,SAS,L. Brown
33,1987/1988,SAS,B. Weiss
34,1986/1987,SAS,B. Weiss
35,1985/1986,SAS,C. Fitzsimmons
36,1984/1985,SAS,C. Fitzsimmons
37,1983/1984,SAS,M. McHone
38,1982/1983,SAS,S. Albeck
39,1981/1982,SAS,S. Albeck
40,1980/1981,SAS,S. Albeck
41,1979/1980,SAS,D. Moe
42,1978/1979,SAS,D. Moe
43,1977/1978,SAS,D. Moe
44,1976/1977,SAS,D. Moe
45,1975/1976,SAS,B. Bass
46,1974/1975,SAS,T. Nissalke
47,1973/1974,SAS,T. Nissalke
48,1972/1973,,B. McCarthy
49,1971/1972,,T. Nissalke
50,1970/1971,,M. Williams
51,1969/1970,,C. Hagan
52,1968/1969,,C. Hagan
53,1967/1968,,C. Hagan
0,2020/2021,MEM,T. Jenkins
1,2019/2020,MEM,T. Jenkins
2,2018/2019,MEM,J. Bickerstaff
3,2017/2018,MEM,D. Fizdale
4,2016/2017,MEM,D. Fizdale
5,2015/2016,MEM,D. Joerger
6,2014/2015,MEM,D. Joerger
7,2013/2014,MEM,D. Joerger
8,2012/2013,MEM,L. Hollins
9,2011/2012,MEM,L. Hollins
10,2010/2011,MEM,L. Hollins
11,2009/2010,MEM,L. Hollins
12,2008/2009,MEM,M. Iavaroni
13,2007/2008,MEM,M. Iavaroni
14,2006/2007,MEM,M. Fratello
15,2005/2006,MEM,M. Fratello
16,2004/2005,MEM,H. Brown
17,2003/2004,MEM,H. Brown
18,2002/2003,MEM,S. Lowe
19,2001/2002,MEM,S. Lowe
20,2000/2001,VAN,S. Lowe
21,1999/2000,VAN,B. Hill
22,1998/1999,VAN,B. Hill
23,1997/1998,VAN,B. Hill
24,1996/1997,VAN,B. Winters
25,1995/1996,VAN,B. Winters
0,2020/2021,DAL,R. Carlisle
1,2019/2020,DAL,R. Carlisle
2,2018/2019,DAL,R. Carlisle
3,2017/2018,DAL,R. Carlisle
4,2016/2017,DAL,R. Carlisle
5,2015/2016,DAL,R. Carlisle
6,2014/2015,DAL,R. Carlisle
7,2013/2014,DAL,R. Carlisle
8,2012/2013,DAL,R. Carlisle
9,2011/2012,DAL,R. Carlisle
10,2010/2011,DAL,R. Carlisle
11,2009/2010,DAL,R. Carlisle
12,2008/2009,DAL,R. Carlisle
13,2007/2008,DAL,A. Johnson
14,2006/2007,DAL,A. Johnson
15,2005/2006,DAL,A. Johnson
16,2004/2005,DAL,D. Nelson
17,2003/2004,DAL,D. Nelson
18,2002/2003,DAL,D. Nelson
19,2001/2002,DAL,D. Nelson
20,2000/2001,DAL,D. Nelson
21,1999/2000,DAL,D. Nelson
22,1998/1999,DAL,D. Nelson
23,1997/1998,DAL,J. Cleamons
24,1996/1997,DAL,J. Cleamons
25,1995/1996,DAL,D. Motta
26,1994/1995,DAL,D. Motta
27,1993/1994,DAL,Q. Buckner
28,1992/1993,DAL,R. Adubato
29,1991/1992,DAL,R. Adubato
30,1990/1991,DAL,R. Adubato
31,1989/1990,DAL,J. MacLeod
32,1988/1989,DAL,J. MacLeod
33,1987/1988,DAL,J. MacLeod
34,1986/1987,DAL,D. Motta
35,1985/1986,DAL,D. Motta
36,1984/1985,DAL,D. Motta
37,1983/1984,DAL,D. Motta
38,1982/1983,DAL,D. Motta
39,1981/1982,DAL,D. Motta
40,1980/1981,DAL,D. Motta
0,1949/1950,AND,H. Schultz
1,1953/1954,BLB,C. Bee
2,1952/1953,BLB,C. Reiser
3,1951/1952,BLB,F. Scolari
4,1950/1951,BLB,B. Jeannette
5,1949/1950,BLB,B. Jeannette
6,1949/1950,CHS,P. Brownstein
7,1949/1950,DNN,J. Darden
8,1952/1953,INO,H. Schaefer
9,1951/1952,INO,H. Schaefer
10,1950/1951,INO,W. Jones
11,1949/1950,INO,
12,1949/1950,SHE,K. Suesens
13,1949/1950,STB,G. Lewis
14,1950/1951,WSC,B. McKinney
15,1949/1950,WSC,B. Feerick
16,1949/1950,WAT,C. Shipp
