Season,team,coach_name
1949/1950,FTW,M. Mendenhall
1949/1950,TRI,R. Potter
1949/1950,SYR,A. Cervi
1949/1950,NYK,J. Lapchick
1949/1950,BOS,A. Julian
1949/1950,MNL,J. Kundla
1949/1950,PHW,E. Gottlieb
1949/1950,ROC,L. Harrison
1949/1950,AND,H. Schultz
1949/1950,BLB,B. Jeannette
1949/1950,CHS,P. Brownstein
1949/1950,DNN,J. Darden
1949/1950,INO,W. Jones
1949/1950,SHE,K. Suesens
1949/1950,STB,G. Lewis
1949/1950,WSC,B. Feerick
1949/1950,WAT,C. Shipp
1950/1951,FTW,M. Mendenhall
1950/1951,TRI,D. McMillan
1950/1951,SYR,A. Cervi
1950/1951,NYK,J. Lapchick
1950/1951,BOS,R. Auerbach
1950/1951,MNL,J. Kundla
1950/1951,PHW,E. Gottlieb
1950/1951,ROC,L. Harrison
1950/1951,BLB,B. Jeannette
1950/1951,INO,W. Jones
1950/1951,WSC,B. McKinney
1951/1952,FTW,P. Birch
1951/1952,MLH,D. Moore
1951/1952,SYR,A. Cervi
1951/1952,NYK,J. Lapchick
1951/1952,BOS,R. Auerbach
1951/1952,MNL,J. Kundla
1951/1952,PHW,E. Gottlieb
1951/1952,ROC,L. Harrison
1951/1952,BLB,F. Scolari
1951/1952,INO,H. Schaefer
1952/1953,FTW,P. Birch
1952/1953,MLH,A. Levane
1952/1953,SYR,A. Cervi
1952/1953,NYK,J. Lapchick
1952/1953,BOS,R. Auerbach
1952/1953,MNL,J. Kundla
1952/1953,PHW,E. Gottlieb
1952/1953,ROC,L. Harrison
1952/1953,BLB,C. Reiser
1952/1953,INO,H. Schaefer
1953/1954,FTW,P. Birch
1953/1954,MLH,A. Levane
1953/1954,SYR,A. Cervi
1953/1954,NYK,J. Lapchick
1953/1954,BOS,R. Auerbach
1953/1954,MNL,J. Kundla
1953/1954,PHW,E. Gottlieb
1953/1954,ROC,L. Harrison
1953/1954,BLB,C. Bee
1954/1955,FTW,C. Eckman
1954/1955,MLH,R. Holzman
1954/1955,SYR,A. Cervi
1954/1955,NYK,J. Lapchick
1954/1955,BOS,R. Auerbach
1954/1955,MNL,J. Kundla
1954/1955,PHW,E. Gottlieb
1954/1955,ROC,L. Harrison
1955/1956,FTW,C. Eckman
1955/1956,STL,R. Holzman
1955/1956,SYR,A. Cervi
1955/1956,NYK,J. Lapchick
1955/1956,BOS,R. Auerbach
1955/1956,MNL,J. Kundla
1955/1956,PHW,G. Senesky
1955/1956,ROC,B. Wanzer
1956/1957,FTW,C. Eckman
1956/1957,STL,R. Holzman
1956/1957,SYR,A. Cervi
1956/1957,NYK,V. Boryla
1956/1957,BOS,R. Auerbach
1956/1957,MNL,J. Kundla
1956/1957,PHW,G. Senesky
1956/1957,ROC,B. Wanzer
1957/1958,DET,C. Eckman
1957/1958,STL,A. Hannum
1957/1958,SYR,P. Seymour
1957/1958,NYK,V. Boryla
1957/1958,BOS,R. Auerbach
1957/1958,MNL,G. Mikan
1957/1958,PHW,G. Senesky
1957/1958,CIN,B. Wanzer
1958/1959,DET,R. Rocha
1958/1959,STL,A. Phillip
1958/1959,SYR,P. Seymour
1958/1959,NYK,A. Levane
1958/1959,BOS,R. Auerbach
1958/1959,MNL,J. Kundla
1958/1959,PHW,A. Cervi
1958/1959,CIN,B. Wanzer
1959/1960,DET,R. Rocha
1959/1960,STL,E. Macauley
1959/1960,SYR,P. Seymour
1959/1960,NYK,A. Levane
1959/1960,BOS,R. Auerbach
1959/1960,MNL,J. Castellani
1959/1960,PHW,N. Johnston
1959/1960,CIN,T. Marshall
1960/1961,DET,D. McGuire
1960/1961,STL,P. Seymour
1960/1961,SYR,A. Hannum
1960/1961,NYK,C. Braun
1960/1961,BOS,R. Auerbach
1960/1961,LAL,F. Schaus
1960/1961,PHW,N. Johnston
1960/1961,CIN,C. Wolf
1961/1962,DET,D. McGuire
1961/1962,STL,P. Seymour
1961/1962,CHP,J. Pollard
1961/1962,SYR,A. Hannum
1961/1962,NYK,E. Donovan
1961/1962,BOS,R. Auerbach
1961/1962,LAL,F. Schaus
1961/1962,PHW,F. McGuire
1961/1962,CIN,C. Wolf
1962/1963,DET,D. McGuire
1962/1963,STL,H. Gallatin
1962/1963,CHZ,J. McMahon
1962/1963,SYR,A. Hannum
1962/1963,NYK,E. Donovan
1962/1963,BOS,R. Auerbach
1962/1963,LAL,F. Schaus
1962/1963,SFW,B. Feerick
1962/1963,CIN,C. Wolf
1963/1964,DET,C. Wolf
1963/1964,STL,H. Gallatin
1963/1964,BAL,S. Leonard
1963/1964,PHI,D. Schayes
1963/1964,NYK,E. Donovan
1963/1964,BOS,R. Auerbach
1963/1964,LAL,F. Schaus
1963/1964,SFW,A. Hannum
1963/1964,CIN,J. McMahon
1964/1965,DET,C. Wolf
1964/1965,STL,H. Gallatin
1964/1965,BAL,B. Jeannette
1964/1965,PHI,D. Schayes
1964/1965,NYK,E. Donovan
1964/1965,BOS,R. Auerbach
1964/1965,LAL,F. Schaus
1964/1965,SFW,A. Hannum
1964/1965,CIN,J. McMahon
1965/1966,DET,D. DeBusschere
1965/1966,STL,R. Guerin
1965/1966,BAL,P. Seymour
1965/1966,PHI,D. Schayes
1965/1966,NYK,H. Gallatin
1965/1966,BOS,R. Auerbach
1965/1966,LAL,F. Schaus
1965/1966,SFW,A. Hannum
1965/1966,CIN,J. McMahon
1966/1967,CHI,R. Kerr
1966/1967,DET,D. DeBusschere
1966/1967,STL,R. Guerin
1966/1967,BAL,M. Farmer
1966/1967,PHI,A. Hannum
1966/1967,NYK,D. McGuire
1966/1967,BOS,B. Russell
1966/1967,LAL,F. Schaus
1966/1967,SFW,B. Sharman
1966/1967,CIN,J. McMahon
1967/1968,CHI,R. Kerr
1967/1968,IND,L. Staverman
1967/1968,DET,D. Butcher
1967/1968,STL,R. Guerin
1967/1968,BAL,G. Shue
1967/1968,PHI,A. Hannum
1967/1968,NYK,D. McGuire
1967/1968,BOS,B. Russell
1967/1968,NYN,M. Zaslofsky
1967/1968,DEN,B. Bass
1967/1968,SEA,A. Bianchi
1967/1968,LAL,B. van Breda Kolff
1967/1968,SFW,B. Sharman
1967/1968,CIN,E. Jucker
1967/1968,SDR,J. McMahon
1967/1968,DAL,C. Hagan
1968/1969,MIL,L. Costello
1968/1969,CHI,D. Motta
1968/1969,IND,L. Staverman
1968/1969,DET,D. Butcher
1968/1969,ATL,R. Guerin
1968/1969,BAL,G. Shue
1968/1969,PHI,J. Ramsay
1968/1969,NYK,R. Holzman
1968/1969,BOS,B. Russell
1968/1969,NYN,M. Zaslofsky
1968/1969,DEN,B. Bass
1968/1969,SEA,A. Bianchi
1968/1969,LAL,B. van Breda Kolff
1968/1969,PHO,R. Kerr
1968/1969,SFW,G. Lee
1968/1969,CIN,E. Jucker
1968/1969,SDR,J. McMahon
1968/1969,DAL,C. Hagan
1969/1970,MIL,L. Costello
1969/1970,CHI,D. Motta
1969/1970,IND,S. Leonard
1969/1970,DET,B. van Breda Kolff
1969/1970,ATL,R. Guerin
1969/1970,BAL,G. Shue
1969/1970,PHI,J. Ramsay
1969/1970,NYK,R. Holzman
1969/1970,BOS,T. Heinsohn
1969/1970,NYN,Y. Larese
1969/1970,DEN,J. McLendon
1969/1970,SEA,L. Wilkens
1969/1970,LAL,J. Mullaney
1969/1970,PHO,R. Kerr
1969/1970,SFW,G. Lee
1969/1970,CIN,B. Cousy
1969/1970,SDR,J. McMahon
1969/1970,DAL,C. Hagan
1970/1971,MIL,L. Costello
1970/1971,CHI,D. Motta
1970/1971,IND,S. Leonard
1970/1971,DET,B. van Breda Kolff
1970/1971,CLE,B. Fitch
1970/1971,ATL,R. Guerin
1970/1971,BAL,G. Shue
1970/1971,PHI,J. Ramsay
1970/1971,NYK,R. Holzman
1970/1971,BOS,T. Heinsohn
1970/1971,NYN,L. Carnesecca
1970/1971,DEN,J. Belmont
1970/1971,SEA,L. Wilkens
1970/1971,POR,R. Todd
1970/1971,LAL,J. Mullaney
1970/1971,BUF,D. Schayes
1970/1971,PHO,C. Fitzsimmons
1970/1971,SFW,A. Attles
1970/1971,CIN,B. Cousy
1970/1971,SDR,A. Hannum
1970/1971,DAL,M. Williams
1971/1972,MIL,L. Costello
1971/1972,CHI,D. Motta
1971/1972,IND,S. Leonard
1971/1972,DET,B. van Breda Kolff
1971/1972,CLE,B. Fitch
1971/1972,ATL,R. Guerin
1971/1972,BAL,G. Shue
1971/1972,PHI,J. Ramsay
1971/1972,NYK,R. Holzman
1971/1972,BOS,T. Heinsohn
1971/1972,NYN,L. Carnesecca
1971/1972,DEN,A. Hannum
1971/1972,SEA,L. Wilkens
1971/1972,POR,R. Todd
1971/1972,LAL,B. Sharman
1971/1972,BUF,D. Schayes
1971/1972,PHO,C. Fitzsimmons
1971/1972,GSW,A. Attles
1971/1972,CIN,B. Cousy
1971/1972,HOU,T. Winter
1971/1972,DAL,T. Nissalke
1972/1973,MIL,L. Costello
1972/1973,CHI,D. Motta
1972/1973,IND,S. Leonard
1972/1973,DET,E. Lloyd
1972/1973,CLE,B. Fitch
1972/1973,ATL,C. Fitzsimmons
1972/1973,BAL,G. Shue
1972/1973,PHI,R. Rubin
1972/1973,NYK,R. Holzman
1972/1973,BOS,T. Heinsohn
1972/1973,NYN,L. Carnesecca
1972/1973,DEN,A. Hannum
1972/1973,SEA,T. Nissalke
1972/1973,POR,J. McCloskey
1972/1973,LAL,B. Sharman
1972/1973,BUF,J. Ramsay
1972/1973,PHO,B. van Breda Kolff
1972/1973,GSW,A. Attles
1972/1973,KCO,B. Cousy
1972/1973,HOU,T. Winter
1972/1973,DAL,B. McCarthy
1973/1974,MIL,L. Costello
1973/1974,CHI,D. Motta
1973/1974,IND,S. Leonard
1973/1974,DET,R. Scott
1973/1974,CLE,B. Fitch
1973/1974,ATL,C. Fitzsimmons
1973/1974,CAP,K. Jones
1973/1974,PHI,G. Shue
1973/1974,NYK,R. Holzman
1973/1974,BOS,T. Heinsohn
1973/1974,NYN,K. Loughery
1973/1974,DEN,A. Hannum
1973/1974,SEA,B. Russell
1973/1974,POR,J. McCloskey
1973/1974,LAL,B. Sharman
1973/1974,BUF,J. Ramsay
1973/1974,PHO,J. MacLeod
1973/1974,GSW,A. Attles
1973/1974,KCO,B. Cousy
1973/1974,HOU,J. Egan
1973/1974,SAS,T. Nissalke
1974/1975,MIL,L. Costello
1974/1975,CHI,D. Motta
1974/1975,IND,S. Leonard
1974/1975,DET,R. Scott
1974/1975,CLE,B. Fitch
1974/1975,ATL,C. Fitzsimmons
1974/1975,WSB,K. Jones
1974/1975,PHI,G. Shue
1974/1975,NYK,R. Holzman
1974/1975,BOS,T. Heinsohn
1974/1975,NYN,K. Loughery
1974/1975,NOJ,S. Robertson
1974/1975,DEN,L. Brown
1974/1975,SEA,B. Russell
1974/1975,POR,L. Wilkens
1974/1975,LAL,B. Sharman
1974/1975,BUF,J. Ramsay
1974/1975,PHO,J. MacLeod
1974/1975,GSW,A. Attles
1974/1975,KCO,P. Johnson
1974/1975,HOU,J. Egan
1974/1975,SAS,T. Nissalke
1975/1976,MIL,L. Costello
1975/1976,CHI,D. Motta
1975/1976,IND,S. Leonard
1975/1976,DET,R. Scott
1975/1976,CLE,B. Fitch
1975/1976,ATL,C. Fitzsimmons
1975/1976,WSB,K. Jones
1975/1976,PHI,G. Shue
1975/1976,NYK,R. Holzman
1975/1976,BOS,T. Heinsohn
1975/1976,NYN,K. Loughery
1975/1976,NOJ,B. van Breda Kolff
1975/1976,DEN,L. Brown
1975/1976,SEA,B. Russell
1975/1976,POR,L. Wilkens
1975/1976,LAL,B. Sharman
1975/1976,BUF,J. Ramsay
1975/1976,PHO,J. MacLeod
1975/1976,GSW,A. Attles
1975/1976,KCK,P. Johnson
1975/1976,HOU,J. Egan
1975/1976,SAS,B. Bass
1976/1977,MIL,L. Costello
1976/1977,CHI,E. Badger
1976/1977,IND,S. Leonard
1976/1977,DET,H. Brown
1976/1977,CLE,B. Fitch
1976/1977,ATL,H. Brown
1976/1977,WSB,D. Motta
1976/1977,PHI,G. Shue
1976/1977,NYK,R. Holzman
1976/1977,BOS,T. Heinsohn
1976/1977,NYN,K. Loughery
1976/1977,NOJ,B. van Breda Kolff
1976/1977,DEN,L. Brown
1976/1977,SEA,B. Russell
1976/1977,POR,J. Ramsay
1976/1977,LAL,J. West
1976/1977,BUF,T. Locke
1976/1977,PHO,J. MacLeod
1976/1977,GSW,A. Attles
1976/1977,KCK,P. Johnson
1976/1977,HOU,T. Nissalke
1976/1977,SAS,D. Moe
1977/1978,MIL,D. Nelson
1977/1978,CHI,E. Badger
1977/1978,IND,S. Leonard
1977/1978,DET,H. Brown
1977/1978,CLE,B. Fitch
1977/1978,ATL,H. Brown
1977/1978,WSB,D. Motta
1977/1978,PHI,G. Shue
1977/1978,NYK,W. Reed
1977/1978,BOS,T. Heinsohn
1977/1978,NJN,K. Loughery
1977/1978,NOJ,E. Baylor
1977/1978,DEN,L. Brown
1977/1978,SEA,B. Hopkins
1977/1978,POR,J. Ramsay
1977/1978,LAL,J. West
1977/1978,BUF,C. Fitzsimmons
1977/1978,PHO,J. MacLeod
1977/1978,GSW,A. Attles
1977/1978,KCK,P. Johnson
1977/1978,HOU,T. Nissalke
1977/1978,SAS,D. Moe
1978/1979,MIL,D. Nelson
1978/1979,CHI,L. Costello
1978/1979,IND,S. Leonard
1978/1979,DET,D. Vitale
1978/1979,CLE,B. Fitch
1978/1979,ATL,H. Brown
1978/1979,WSB,D. Motta
1978/1979,PHI,B. Cunningham
1978/1979,NYK,W. Reed
1978/1979,BOS,T. Sanders
1978/1979,NJN,K. Loughery
1978/1979,NOJ,E. Baylor
1978/1979,DEN,L. Brown
1978/1979,SEA,L. Wilkens
1978/1979,POR,J. Ramsay
1978/1979,LAL,J. West
1978/1979,SDC,G. Shue
1978/1979,PHO,J. MacLeod
1978/1979,GSW,A. Attles
1978/1979,KCK,C. Fitzsimmons
1978/1979,HOU,T. Nissalke
1978/1979,SAS,D. Moe
1979/1980,MIL,D. Nelson
1979/1980,CHI,J. Sloan
1979/1980,IND,S. Leonard
1979/1980,DET,D. Vitale
1979/1980,CLE,S. Albeck
1979/1980,ATL,H. Brown
1979/1980,WSB,D. Motta
1979/1980,PHI,B. Cunningham
1979/1980,NYK,R. Holzman
1979/1980,BOS,B. Fitch
1979/1980,NJN,K. Loughery
1979/1980,UTA,T. Nissalke
1979/1980,DEN,D. Walsh
1979/1980,SEA,L. Wilkens
1979/1980,POR,J. Ramsay
1979/1980,LAL,J. McKinney
1979/1980,SDC,G. Shue
1979/1980,PHO,J. MacLeod
1979/1980,GSW,A. Attles
1979/1980,KCK,C. Fitzsimmons
1979/1980,HOU,D. Harris
1979/1980,SAS,D. Moe
1980/1981,MIL,D. Nelson
1980/1981,CHI,J. Sloan
1980/1981,IND,J. McKinney
1980/1981,DET,S. Robertson
1980/1981,CLE,B. Musselman
1980/1981,ATL,H. Brown
1980/1981,WSB,G. Shue
1980/1981,PHI,B. Cunningham
1980/1981,NYK,R. Holzman
1980/1981,BOS,B. Fitch
1980/1981,NJN,K. Loughery
1980/1981,UTA,T. Nissalke
1980/1981,DEN,D. Walsh
1980/1981,SEA,L. Wilkens
1980/1981,POR,J. Ramsay
1980/1981,LAL,P. Westhead
1980/1981,SDC,P. Silas
1980/1981,PHO,J. MacLeod
1980/1981,GSW,A. Attles
1980/1981,KCK,C. Fitzsimmons
1980/1981,HOU,D. Harris
1980/1981,SAS,S. Albeck
1980/1981,DAL,D. Motta
1981/1982,MIL,D. Nelson
1981/1982,CHI,J. Sloan
1981/1982,IND,J. McKinney
1981/1982,DET,S. Robertson
1981/1982,CLE,D. Delaney
1981/1982,ATL,K. Loughery
1981/1982,WSB,G. Shue
1981/1982,PHI,B. Cunningham
1981/1982,NYK,R. Holzman
1981/1982,BOS,B. Fitch
1981/1982,NJN,L. Brown
1981/1982,UTA,T. Nissalke
1981/1982,DEN,D. Moe
1981/1982,SEA,L. Wilkens
1981/1982,POR,J. Ramsay
1981/1982,LAL,P. Westhead
1981/1982,SDC,P. Silas
1981/1982,PHO,J. MacLeod
1981/1982,GSW,A. Attles
1981/1982,KCK,C. Fitzsimmons
1981/1982,HOU,D. Harris
1981/1982,SAS,S. Albeck
1981/1982,DAL,D. Motta
1982/1983,MIL,D. Nelson
1982/1983,CHI,P. Westhead
1982/1983,IND,J. McKinney
1982/1983,DET,S. Robertson
1982/1983,CLE,T. Nissalke
1982/1983,ATL,K. Loughery
1982/1983,WSB,G. Shue
1982/1983,PHI,B. Cunningham
1982/1983,NYK,H. Brown
1982/1983,BOS,B. Fitch
1982/1983,NJN,L. Brown
1982/1983,UTA,F. Layden
1982/1983,DEN,D. Moe
1982/1983,SEA,L. Wilkens
1982/1983,POR,J. Ramsay
1982/1983,LAL,P. Riley
1982/1983,SDC,P. Silas
1982/1983,PHO,J. MacLeod
1982/1983,GSW,A. Attles
1982/1983,KCK,C. Fitzsimmons
1982/1983,HOU,D. Harris
1982/1983,SAS,S. Albeck
1982/1983,DAL,D. Motta
1983/1984,MIL,D. Nelson
1983/1984,CHI,K. Loughery
1983/1984,IND,J. McKinney
1983/1984,DET,C. Daly
1983/1984,CLE,T. Nissalke
1983/1984,ATL,M. Fratello
1983/1984,WSB,G. Shue
1983/1984,PHI,B. Cunningham
1983/1984,NYK,H. Brown
1983/1984,BOS,K. Jones
1983/1984,NJN,S. Albeck
1983/1984,UTA,F. Layden
1983/1984,DEN,D. Moe
1983/1984,SEA,L. Wilkens
1983/1984,POR,J. Ramsay
1983/1984,LAL,P. Riley
1983/1984,SDC,J. Lynam
1983/1984,PHO,J. MacLeod
1983/1984,GSW,J. Bach
1983/1984,KCK,C. Fitzsimmons
1983/1984,HOU,B. Fitch
1983/1984,SAS,M. McHone
1983/1984,DAL,D. Motta
1984/1985,MIL,D. Nelson
1984/1985,CHI,K. Loughery
1984/1985,IND,G. Irvine
1984/1985,DET,C. Daly
1984/1985,CLE,G. Karl
1984/1985,ATL,M. Fratello
1984/1985,WSB,G. Shue
1984/1985,PHI,B. Cunningham
1984/1985,NYK,H. Brown
1984/1985,BOS,K. Jones
1984/1985,NJN,S. Albeck
1984/1985,UTA,F. Layden
1984/1985,DEN,D. Moe
1984/1985,SEA,L. Wilkens
1984/1985,POR,J. Ramsay
1984/1985,LAL,P. Riley
1984/1985,LAC,J. Lynam
1984/1985,PHO,J. MacLeod
1984/1985,GSW,J. Bach
1984/1985,KCK,J. McKinney
1984/1985,HOU,B. Fitch
1984/1985,SAS,C. Fitzsimmons
1984/1985,DAL,D. Motta
1985/1986,MIL,D. Nelson
1985/1986,CHI,S. Albeck
1985/1986,IND,G. Irvine
1985/1986,DET,C. Daly
1985/1986,CLE,G. Karl
1985/1986,ATL,M. Fratello
1985/1986,WSB,G. Shue
1985/1986,PHI,M. Guokas
1985/1986,NYK,H. Brown
1985/1986,BOS,K. Jones
1985/1986,NJN,D. Wohl
1985/1986,UTA,F. Layden
1985/1986,DEN,D. Moe
1985/1986,SEA,B. Bickerstaff
1985/1986,POR,J. Ramsay
1985/1986,LAL,P. Riley
1985/1986,LAC,D. Chaney
1985/1986,PHO,J. MacLeod
1985/1986,GSW,J. Bach
1985/1986,SAC,P. Johnson
1985/1986,HOU,B. Fitch
1985/1986,SAS,C. Fitzsimmons
1985/1986,DAL,D. Motta
1986/1987,MIL,D. Nelson
1986/1987,CHI,D. Collins
1986/1987,IND,J. Ramsay
1986/1987,DET,C. Daly
1986/1987,CLE,L. Wilkens
1986/1987,ATL,M. Fratello
1986/1987,WSB,K. Loughery
1986/1987,PHI,M. Guokas
1986/1987,NYK,H. Brown
1986/1987,BOS,K. Jones
1986/1987,NJN,D. Wohl
1986/1987,UTA,F. Layden
1986/1987,DEN,D. Moe
1986/1987,SEA,B. Bickerstaff
1986/1987,POR,M. Schuler
1986/1987,LAL,P. Riley
1986/1987,LAC,D. Chaney
1986/1987,PHO,J. MacLeod
1986/1987,GSW,G. Karl
1986/1987,SAC,P. Johnson
1986/1987,HOU,B. Fitch
1986/1987,SAS,B. Weiss
1986/1987,DAL,D. Motta
1987/1988,MIL,D. Harris
1987/1988,CHI,D. Collins
1987/1988,IND,J. Ramsay
1987/1988,DET,C. Daly
1987/1988,CLE,L. Wilkens
1987/1988,ATL,M. Fratello
1987/1988,WSB,K. Loughery
1987/1988,PHI,M. Guokas
1987/1988,NYK,R. Pitino
1987/1988,BOS,K. Jones
1987/1988,NJN,D. Wohl
1987/1988,UTA,F. Layden
1987/1988,DEN,D. Moe
1987/1988,SEA,B. Bickerstaff
1987/1988,POR,M. Schuler
1987/1988,LAL,P. Riley
1987/1988,LAC,G. Shue
1987/1988,PHO,J. Wetzel
1987/1988,GSW,G. Karl
1987/1988,SAC,B. Russell
1987/1988,HOU,B. Fitch
1987/1988,SAS,B. Weiss
1987/1988,DAL,J. MacLeod
1988/1989,MIL,D. Harris
1988/1989,CHI,D. Collins
1988/1989,IND,J. Ramsay
1988/1989,DET,C. Daly
1988/1989,CLE,L. Wilkens
1988/1989,ATL,M. Fratello
1988/1989,MIA,R. Rothstein
1988/1989,CHH,D. Harter
1988/1989,WSB,W. Unseld
1988/1989,PHI,J. Lynam
1988/1989,NYK,R. Pitino
1988/1989,BOS,J. Rodgers
1988/1989,NJN,W. Reed
1988/1989,UTA,F. Layden
1988/1989,DEN,D. Moe
1988/1989,SEA,B. Bickerstaff
1988/1989,POR,M. Schuler
1988/1989,LAL,P. Riley
1988/1989,LAC,G. Shue
1988/1989,PHO,C. Fitzsimmons
1988/1989,GSW,D. Nelson
1988/1989,SAC,J. Reynolds
1988/1989,HOU,D. Chaney
1988/1989,SAS,L. Brown
1988/1989,DAL,J. MacLeod
1989/1990,MIL,D. Harris
1989/1990,CHI,P. Jackson
1989/1990,IND,D. Versace
1989/1990,DET,C. Daly
1989/1990,CLE,L. Wilkens
1989/1990,ATL,M. Fratello
1989/1990,MIA,R. Rothstein
1989/1990,CHH,D. Harter
1989/1990,ORL,M. Guokas
1989/1990,WSB,W. Unseld
1989/1990,PHI,J. Lynam
1989/1990,NYK,S. Jackson
1989/1990,BOS,J. Rodgers
1989/1990,NJN,B. Fitch
1989/1990,UTA,J. Sloan
1989/1990,DEN,D. Moe
1989/1990,SEA,B. Bickerstaff
1989/1990,MIN,B. Musselman
1989/1990,POR,R. Adelman
1989/1990,LAL,P. Riley
1989/1990,LAC,D. Casey
1989/1990,PHO,C. Fitzsimmons
1989/1990,GSW,D. Nelson
1989/1990,SAC,J. Reynolds
1989/1990,HOU,D. Chaney
1989/1990,SAS,L. Brown
1989/1990,DAL,J. MacLeod
1990/1991,MIL,D. Harris
1990/1991,CHI,P. Jackson
1990/1991,IND,D. Versace
1990/1991,DET,C. Daly
1990/1991,CLE,L. Wilkens
1990/1991,ATL,B. Weiss
1990/1991,MIA,R. Rothstein
1990/1991,CHH,G. Littles
1990/1991,ORL,M. Guokas
1990/1991,WSB,W. Unseld
1990/1991,PHI,J. Lynam
1990/1991,NYK,S. Jackson
1990/1991,BOS,C. Ford
1990/1991,NJN,B. Fitch
1990/1991,UTA,J. Sloan
1990/1991,DEN,P. Westhead
1990/1991,SEA,K. Jones
1990/1991,MIN,B. Musselman
1990/1991,POR,R. Adelman
1990/1991,LAL,M. Dunleavy
1990/1991,LAC,M. Schuler
1990/1991,PHO,C. Fitzsimmons
1990/1991,GSW,D. Nelson
1990/1991,SAC,D. Motta
1990/1991,HOU,D. Chaney
1990/1991,SAS,L. Brown
1990/1991,DAL,R. Adubato
1991/1992,MIL,D. Harris
1991/1992,CHI,P. Jackson
1991/1992,IND,B. Hill
1991/1992,DET,C. Daly
1991/1992,CLE,L. Wilkens
1991/1992,ATL,B. Weiss
1991/1992,MIA,K. Loughery
1991/1992,CHH,A. Bristow
1991/1992,ORL,M. Guokas
1991/1992,WSB,W. Unseld
1991/1992,PHI,J. Lynam
1991/1992,NYK,P. Riley
1991/1992,BOS,C. Ford
1991/1992,NJN,B. Fitch
1991/1992,UTA,J. Sloan
1991/1992,DEN,P. Westhead
1991/1992,SEA,K. Jones
1991/1992,MIN,J. Rodgers
1991/1992,POR,R. Adelman
1991/1992,LAL,M. Dunleavy
1991/1992,LAC,M. Schuler
1991/1992,PHO,C. Fitzsimmons
1991/1992,GSW,D. Nelson
1991/1992,SAC,D. Motta
1991/1992,HOU,D. Chaney
1991/1992,SAS,L. Brown
1991/1992,DAL,R. Adubato
1992/1993,MIL,M. Dunleavy
1992/1993,CHI,P. Jackson
1992/1993,IND,B. Hill
1992/1993,DET,R. Rothstein
1992/1993,CLE,L. Wilkens
1992/1993,ATL,B. Weiss
1992/1993,MIA,K. Loughery
1992/1993,CHH,A. Bristow
1992/1993,ORL,M. Guokas
1992/1993,WSB,W. Unseld
1992/1993,PHI,D. Moe
1992/1993,NYK,P. Riley
1992/1993,BOS,C. Ford
1992/1993,NJN,C. Daly
1992/1993,UTA,J. Sloan
1992/1993,DEN,D. Issel
1992/1993,SEA,G. Karl
1992/1993,MIN,J. Rodgers
1992/1993,POR,R. Adelman
1992/1993,LAL,R. Pfund
1992/1993,LAC,L. Brown
1992/1993,PHO,P. Westphal
1992/1993,GSW,D. Nelson
1992/1993,SAC,G. St. Jean
1992/1993,HOU,R. Tomjanovich
1992/1993,SAS,J. Tarkanian
1992/1993,DAL,R. Adubato
1993/1994,MIL,M. Dunleavy
1993/1994,CHI,P. Jackson
1993/1994,IND,L. Brown
1993/1994,DET,D. Chaney
1993/1994,CLE,M. Fratello
1993/1994,ATL,L. Wilkens
1993/1994,MIA,K. Loughery
1993/1994,CHH,A. Bristow
1993/1994,ORL,B. Hill
1993/1994,WSB,W. Unseld
1993/1994,PHI,F. Carter
1993/1994,NYK,P. Riley
1993/1994,BOS,C. Ford
1993/1994,NJN,C. Daly
1993/1994,UTA,J. Sloan
1993/1994,DEN,D. Issel
1993/1994,SEA,G. Karl
1993/1994,MIN,S. Lowe
1993/1994,POR,R. Adelman
1993/1994,LAL,R. Pfund
1993/1994,LAC,B. Weiss
1993/1994,PHO,P. Westphal
