season,mvp,defensive_player,rookie_of_the_year,sixth_man,most_improved,sportsmanship
2019/2020,Giannis Antetokounmpo,Giannis Antetokounmpo,Ja Morant,Montrezl Harrell,Brandon Ingram,Vince Carter
2018/2019,Giannis Antetokounmpo,Rudy Gobert,Luka Doncic,Louis Williams,Pascal Siakam,Mike Conley
2017/2018,James Harden,Rudy Gobert,Ben Simmons,Louis Williams,Victor Oladipo,Kemba Walker
2016/2017,Russell Westbrook,Draymond Green,Malcolm Brogdon,Eric Gordon,Giannis Antetokounmpo,Kemba Walker
2012/2013,LeBron James,Marc Gasol,Damian Lillard,J.R. Smith,Paul George,Jason Kidd
1999/2000,Shaquille O'Neal,Alonzo Mourning,Steve Francis,Rodney Rogers,Jalen Rose,Eric Snow
1999/2000,Shaquille O'Neal,Alonzo Mourning,Elton Brand,Rodney Rogers,Jalen Rose,Eric Snow
1996/1997,Karl Malone,Dikembe Mutombo,Allen Iverson,John Starks,Isaac Austin,Terrell Brandon
1985/1986,Larry Bird,Alvin Robertson,Patrick Ewing,Bill Walton,Alvin Robertson,
1970/1971,Kareem Abdul-Jabbar,,Geoff Petrie,,,
1962/1963,Bill Russell,,Terry Dischinger,,,
1961/1962,Bill Russell,,Walt Bellamy,,,